"LGA","Crude_rate","IRSD","IRSAD","IER","IEO","log_IRSD","log_IER","log_IEO","log_Crude_rate"
"Albury",26.48461,968,950,962,954,5.06890420222023,5.19295685089021,6.86066367144829,3.27656380957185
"Armidale Regional",19.83811,980,976,955,1010,4.99043258677874,5.23110861685459,6.9177056098353,2.98760483522223
"Ballina",34.302968,1015,996,1011,991,4.71849887129509,4.87519732320115,6.89871453432999,3.53523188104058
"Balranald",43.466449,960,934,970,915,5.11799381241676,5.14749447681345,6.81892406527552,3.77198935314319
"Bathurst Regional",34.024521,991,967,999,959,4.91265488573605,4.96284463025991,6.86589107488344,3.52708147055453
"Bayside (NSW)",23.098085,1004,1044,966,1051,4.81218435537242,5.17048399503815,6.95749737087695,3.13974971365842
"Bega Valley",33.442751,986,949,987,946,4.94875989037817,5.04342511691925,6.85224256905188,3.50983505157919
"Bellingen",30.126243,981,960,983,985,4.98360662170834,5.06890420222023,6.89264164117209,3.40539665237038
"Berrigan",32.391943,966,927,974,913,5.08140436498446,5.12396397940326,6.81673588059497,3.47790971903456
"Blacktown",17.861315,987,1006,1020,993,4.9416424226093,4.80402104473326,6.90073066404517,2.88263720095741
"Bland",62.755283,993,958,1001,939,4.89783979995091,4.94875989037817,6.84481547920826,4.13924276570307
"Blayney",40.229577,991,962,1020,942,4.91265488573605,4.80402104473326,6.84800527457636,3.69460247136503
"Blue Mountains",18.598537,1048,1042,1039,1063,4.36944785246702,4.63472898822964,6.96885037834195,2.92308292171164
"Bogan",57.870304,966,948,989,936,5.08140436498446,5.03043792139244,6.84161547647759,4.05820436872557
"Bourke",41.753653,947,954,947,980,5.19295685089021,5.27299955856375,6.88755257166462,3.73178694447521
"Brewarrina",41.420125,818,866,789,917,5.73334127689775,5.8664680569333,6.82110747225646,3.72376687382865
"Broken Hill",23.59312,913,892,919,887,5.36597601502185,5.40717177146012,6.78784498230958,3.16095514410604
"Burwood",14.460818,977,1050,926,1082,5.01063529409626,5.37527840768417,6.98656645940643,2.67144278497846
"Byron",11.475503,1021,1027,1009,1052,4.66343909411207,4.89034912822175,6.95844839329766,2.44021458940857
"Cabonne",18.221436,1023,995,1044,975,4.64439089914137,4.58496747867057,6.88243747099785,2.90259870321569
"Camden",11.944315,1045,1050,1098,1002,4.40671924726425,3.78418963391826,6.90975328164481,2.48025543296347
"Campbelltown (NSW)",19.130503,947,952,981,949,5.19295685089021,5.08140436498446,6.85540879860993,2.95128407688589
"Canada Bay",15.958436,1067,1116,1021,1123,4.0943445622221,4.79579054559674,7.02375895473844,2.76998759223237
"Canterbury-Bankstown",21.955996,917,966,949,996,5.34710753071747,5.26269018890489,6.9037472575846,3.08904026850508
"Carrathool",13.855782,973,953,980,941,5.03695260241363,5.08759633523238,6.84694313958538,2.62870261843996
"Central Coast (NSW)",23.965898,994,978,1005,967,4.89034912822175,4.91998092582813,6.87419849545329,3.17663190322189
"Central Darling",65.600656,827,869,853,929,5.7037824746562,5.66642668811243,6.83410873881384,4.18358569590004
"Cessnock",41.215047,939,908,984,876,5.23644196282995,5.06259503302697,6.77536609093639,3.71880340812606
"Clarence Valley",38.3512,940,910,963,901,5.23110861685459,5.18738580584075,6.80350525760834,3.64678581806688
"Cobar",8.9912718,965,937,977,904,5.08759633523238,5.10594547390058,6.80682936039218,2.19625430677594
"Coffs Harbour",20.715541,972,954,982,953,5.04342511691925,5.07517381523383,6.8596149036542,3.03088419152916
"Coolamon",13.480605,983,951,1006,941,4.969813299576,4.91265488573605,6.84694313958538,2.60125198578266
"Coonamble",38.795747,883,893,922,919,5.4971682252932,5.39362754635236,6.82328612235569,3.65831062721918
"Cootamundra-Gundagai Regional",28.167495,953,926,965,918,5.15905529921453,5.17614973257383,6.82219739062049,3.33816865354663
"Cowra",52.011855,932,908,950,908,5.27299955856375,5.25749537202778,6.81124437860129,3.95147167336699
"Cumberland",19.002145,904,961,931,995,5.40717177146012,5.35185813347607,6.90274273715859,2.94455186753115
"Dubbo Regional",22.352817,985,958,988,944,4.95582705760126,5.03695260241363,6.8501261661455,3.10695235338563
"Dungog",15.0015,1009,974,1040,945,4.77068462446567,4.62497281328427,6.85118492749374,2.70815019610254
"Edward River",59.4038,966,939,971,935,5.08140436498446,5.14166355650266,6.84054652928869,4.08435819738638
"Eurobodalla",48.51911,985,946,983,941,4.95582705760126,5.06890420222023,6.84694313958538,3.88195774095625
"Fairfield",28.494061,814,885,937,919,5.74620319054015,5.32300997913841,6.82328612235569,3.34969567959432
"Federation",31.061337,969,925,976,897,5.06259503302697,5.11198778835654,6.7990558620588,3.43596386251207
"Forbes",37.070656,969,941,977,938,5.06259503302697,5.10594547390058,6.84374994900622,3.6128257132564
"Georges River",19.841595,1011,1048,999,1060,4.75359019110636,4.96284463025991,6.96602418710611,2.98778049177053
"Gilgandra",40.685322,930,913,955,923,5.28320372873799,5.23110861685459,6.82762923450285,3.70586738858209
"Glen Innes Severn",73.913141,906,891,929,907,5.39816270151775,5.36129216570943,6.81014245011514,4.30289063352605
"Goulburn Mulwaree",24.66961,972,945,985,926,5.04342511691925,5.05624580534831,6.83087423464618,3.2055721217418
"Greater Hume Shire",16.479585,999,964,1018,956,4.85203026391962,4.82028156560504,6.8627579130514,2.80212234212542
"Griffith",41.834023,974,950,985,920,5.03043792139244,5.05624580534831,6.82437367004309,3.73370995582361
"Gunnedah",37.866302,967,940,989,909,5.07517381523383,5.03043792139244,6.81234509417748,3.63406158729088
"Gwydir",74.526487,957,936,978,947,5.13579843705026,5.0998664278242,6.85329909318608,4.31115459240097
"Hawkesbury",21.440888,1026,1008,1056,969,4.61512051684126,4.45434729625351,6.87626461189077,3.06529975325535
"Hay",27.192386,956,926,950,903,5.14166355650266,5.25749537202778,6.80572255341699,3.30293700764464
"Hilltops",26.450511,954,929,974,927,5.15329159449778,5.12396397940326,6.83195356556585,3.27527547758839
"Hornsby",18.176,1082,1116,1082,1121,3.80666248977032,4.0943445622221,7.02197642307216,2.90010204253874
"Hunters Hill",26.847194,1101,1156,1088,1163,3.25809653802148,3.98898404656427,7.05875815251866,3.290161308976
"Inner West",17.98929,1057,1118,993,1141,4.24849524204936,5.00394630594546,7.03966034986208,2.88977658081342
